Пусто|Пусто|Пусто|true
Мешки с золотом| Есть 10 мешков с золотом. В каждом по 10 монет. В девяти мешках монеты настоящие, а в одном - все фальшивые. Одна настоящая монета весит 5 грамм, а фальшивая - 4 грамма. Есть весы, показывающие вес в граммах.Необходимо за одно взвешивание точно определить, в каком мешке фальшивые монеты Подсказка: Мешки можно раскрывать и вытаскивать монеты.|Пронумеруем мешки от 1 до 10. Вытащим из первого 1 монету, из второго 2, из третьего 3 и такдалее. Затем возьмем всю эту кучу монет и положим на весы. Если бы они все были настоящие, тообщий вес составил бы 275 грамм (т.к. мы вытащили в общей сложности 55 монет). Но в одном измешков были фальшивые. Если это был первый мешок, то вес будет на 1 грамм меньше (т.к. мы взялиоттуда 1 монету). Если фальшивые были во втором, то на 2 грамма меньше. И так далее.|true
Необычное завещание| Один адвокат, скопивший немалое состояние, собрал коллекцию из 11 старинных машин, каждую из которых знатоки оценивали примерно в 25 000 долларов. После смерти адвокат оставил необычное завещание. По его воле 11 машин должны были быть разделены между 3 его сыновьями. Половина машин должна была отойти старшему сыну, четверть - среднему и одна шестая - младшему.Сыновья были не на шутку озадачены. Ну как можно разделить пополам 11 машин или, скажем, отделить от них четверть или одну шестую? В разгар споров по поводу наследства мимо проезжала в своей новой спортивной машине знаменитый нумеролог миссис Зеро. М-с Зеро. Хэлло, мальчики! Что-то вид у вас не очень веселый. Может быть, я могу вам чем-нибудь помочь? После того как братья объяснили миссис Зеро суть своих затруднений, она помогла разрешить спор? Как же они это сделали?|М-с Зеро поставила свою машину рядом с 11 коллекционными машинами и выпорхнула из нее. М-с Зеро. Сколько теперь машин перед вами? Братья сосчитали - получилось 12 машин. Затем миссис Зеро разделила 12 машин в соответствии с завещанием. Половину, или 6 машин, она отдала старшему сыну, четвертую часть, или 3 машины, - среднему сыну, и шестую часть, или 2 машины, - младшему сыну. М-с 3еро. 6 плюс 3 плюс 2 - 11 машин. Одна машина лишняя, это моя машина. Изящно впорхнув в свою машину, миссис Зеро дала газ и умчалась.|true
Находчивый еврей| Во время войны на границе между Германией и Швейцарией был мост, который охранял немецкий часовой. Он стрелял в каждого еврея, который пытался перейти из Германии в Швейцарию, и отправлял назад в Швейцарию тех, у кого не было разрешения на вход в Германию. Часовой стоял на немецкой стороне моста. Он сидел в будке и через каждые три минуты выходил из неё, чтобы осмотреть мост. Человеку требуется 6 минут, чтобы пройти весь мост.Один еврей захотел пройти через мост из Германии в Швейцарию. Само собой, у него не было разрешения на это. Он знал, что есть возможность проникнуть на мост в тот момент, когда часовой находился в будке, но для того, чтобы преодолеть весь мост, нужно не менее шести минут. На мосту негде спрятаться, и часовой мог застрелить его, если бы увидел.Как быть еврею, чтобы перейти через мост в Швейцарию?|Еврей дождался, чтобы часовой ушёл в свою будку. Потом еврей зашёл на мост и пошёл в сторону Швейцарии. Он шел около 2-х с половиной минут, потом развернулся и пошёл обратно, к Германии, навстречу часовому. Часовой вышел наружу и увидел идущего со стороны Швейцарии еврея. Когда еврей подошёл, часовой увидел, что у еврея нет разрешения на вход в Германию, и поэтому отправил его назад в Швейцарию.|true
Два числа| Если от каждого из 2 чисел отнять половину меньшего из них, то остаток от большего втрое больше остатка от меньшего. Во сколько раз большее число больше меньшего?|Предположим, что остаток меньшего числа - а, то остаток большего - 3а. Тогда меньшее числа а+а=2а, а большее а+3а=4а. Следовательно, большее число больше меньшего в 2 раза.|true
Сколько деталей| Токарь вытачивает звенья механизма из заготовок. Одна заготовка - одно звено. После создания 5 звеньев остается много отходов, их можно переплавить и использовать повторно для создания  еще одного звена. Подсчитайте, сколько звеньев получится из 25 заготовок.|31 деталь. При недостаточно внимательном отношении к условию рассуждают так: 25 заготовок - это 25 звеньев, из стружек 25 звеньев получается 5 новых заготовое, то есть 5 новых звеньев, всего 25+5 =30 звеньев. При этом забывают, что стружка, получившаяся от пять последних звеньев, тоже составят новую заготовку, то есть новое звено. Таким образом, всего звеньев будет не 30, а 31.|true
На смекалку| Чего общего между коровой, собакой и петухом?У собаки 3, у коровы 3, у петуха 2?|У коровы и собаки - 3 слога: ко-ро-ва, со-ба-ка.У петуха - 2 слога: пе-тух.|true
Сколько будет 19 + 11?| Как такое может быть, что 19 + 11 = 6?|Все сходится, если речь идёт о времени: 19 часов + 11 часов = 6 часов утра.|true
Хитрый дурачок| В одной деревушке живет очень странный житель, который стал местной достопримечательностью. Когда ему на выбор предлагают 5-рублевую монету и банкноту в 50 рублей он всегда выбирает монету. По этой причине местные жители считают его дурачком и посмеиваются над ним, а так называемый "дурачок" смеется над местными жителями.  Почему он никогда не выбирал купюру, в чем его выгода?|"Дурачок" был не так глуп: он понимал, что, пока он будет выбирать 5 -рублевую монету, люди будут удивляться и предлагать ему деньги на выбор, а если он вы­берет 50 - рублевую банкноту, предложения денег сразу прекратятся, и он не будет получать ничего.|true
Спортсмен| Спортсмен опаздывает на соревнования. До отхода поезда остаётся 2 минуты, а путь до вокзала составляет 2 км. Первый километр спортсмен смог пробежать со скоростью 30 км/час, с какой скоростью он должен продолжать бег, чтобы успеть на поезд?|Первый километр спортсмен пробежит за 2 минуты. Поезд уйдёт, и спортсмен может далее бежать или пройти второй километр с любой скоростью: всё равно он опоздал на поезд.|true
Мост| Есть узкий мост через реку, по которому одновременно могут пройти максимум 2 человека.Ночь, мост не освещён, без фонарика по мосту ходить нельзя.Четверо людей, все на одном берегу, хотят перейти на другую сторону. Фонарик у них один и его можно передавать друг другу.Человек M1 может перебежать через мост за 1 мин.,M2 - за 2 мин.,M5 - за 5 мин.,M7 - за 7 мин.Если по мосту идут двое, они двигаются со скоростью самого медленного, освещая себе дорогу фонариком (то есть, M1 и M7 перейдут мост за 7 минут).Как им всем четверым переправиться на другую сторону за 14 мин?|Переходят M1+M2 = 2 мин,M2 вернулся обратно с фонариком = 2 мин,Переходят M5+M7 = 7 мин,M1 возвращается с фонариком = 1 мин,Переходят M1+M2 = 2 мин.Все перешли, итого 14 минут!|true
Какой сегодня день?| Завтра не пятница, позавчера - не выходной, и сегодня тоже не выходной,пять дней назад был рабочий день. Какой сегодня день недели?|Сегодня среда!|true
Спасение словами| Однажды путешественника, изучавшего джунгли, захватили в плен аборигены. Дикари собирались съесть беднягу, но вождь племени оказался мудрым человеком и предложил путешественнику выбор. Путешественнику предложили произнести одну фразу. Если то, что он скажет, окажется истинно, то пленника сбросят со скалы. Если же сказанное будет ложным, его отдаут на растерзание львам. Казалось бы, песенка путешественника спета. Однако, он сказал нечто такое, после чего его пршлось отпустить. Что сказал путешественник?|Путешественник сказал: "меня отдадут на растерзание львам". Теперь, если путешественника и в самом деле бросят львам, то утверждение окажется истинным и, следовательно, бедолагу должны сбросить со скалы. Но ведь если путешественника сбросят со скалы, то сказанное станет ложным, и его следует отдать львам! И так далее...Получив такой ответ, вождю племени не оставалось ничего другого, как отпустить пленника.|true
Таинственный капитан| Догадайтесь, кто из известных капитанов написал этот странный белый стих "Корабль мой огромен и странен весьма: Его экипаж - к голове голова. Ничем не торгую, ничто не меняю, и ветру любому покорно киваю. Ни порта приписки, ни цели не знаю, но к суше причалить давно я мечтаю." Остается добавить, что этот капитан известен почти каждому.|Таинственным капитаном был Ной. Он пустил по волнам просторное судно, набитое разными животными, и ни одно из них не продавалось и не менялось. Поскольку вся земля во время потопа скрылась под водой, капитану было все равно, куда погонит его судно ветер. А больше всего ему хотелось увидеть хотя бы клочок суши, чтобы бросить якорь.|true
Каски или фуражки| В начале Первой мировой войны в униформу британских солдат входила коричневая матерчатая фуражка. Металлических касок у них не было. Через некоторое время командование армии было обеспокоено большим количеством ранений в голову. Было решено заменить фуражку металлической каской. Но вскоре командование было удивлено, узнав, что количество ранений в голову увеличилось. Необходимо заметить, что интенсивность сражений была примерно одинаковой до и после введения касок. Так почему же число ранений в голову увеличилось, когда солдаты стали надевать каски, а не фуражки?|Число зафиксированных ранений в голову увеличилось, но снизилась смертность. Ранее, если осколок шрапнели попадал солдату в голову, он пробивал фуражку, и человек, вероятнее всего умирал. Это фиксировалось как смерть, а не как ранение. После того, как было предписано носить каски, удар шрапнели не убивал солдата, а всего лишь ранил. Поэтому число ранений в голову увеличилось, а число смертей снизилось.|true
Как передать?| Вы хотите послать другу ценный предмет. У вас есть коробка, которая больше чем сам предмет. У вас есть несколько навесных замков с ключами. У коробки есть кольцо (петли), которое больше чем было бы достаточно для замка. Но у вашего друга нет ключей ни от одного вашего замка. Что же делать? Замечание: Вы не можете послать ключ в незапертой коробке, так как его могут скопировать.|Положите предмет в коробку и закройте его на замок. Пошлите коробку другу. Друг закрывает коробку ещё и на свой замок и посылает коробку Вам; Вы открываете свой замок и посылаете коробку другу. Он открывает свой замок.|true
Странное место| В одном месте сидела девушка, затем она поднялась со своего места и ушла, вы бы хотели сесть на ее место, но не можете этого сделать. Где она сидела?|У вас на коленях. Сесть себе на колени вы не можете.|true
Покупка укропа| Повар покупал на рынке пучки укропа, каждый по 20 см в окружности. Однажды у продавца не осталось 20 - сантиметровых пучков, тогда повар решил купить два тонких пучка по 10 сантиметров в обхвате, заплатив при этом продавцу, столько же, сколько платил раньше за толстый пучок. Выиграл при этой покупке повар или прогадал?|Повар прогадал при сделке. 20 - сантиметровый пучок содержит в себе не вдвое, а вчетверо больше укропа, чем 10-сантиметровый. Повару нужно было либо заплатить вдвое меньше, либо потребовать не два, а четыре пучка зелени.|true
Очень хрупкое| Это нечто настолько хрупкое, что достаточно лишь назвать это по имени, как оно сразу же разрушается. О чём идёт речь?|Это молчание.|true
Отмерить три литра| Как, имея пятилитровую банку и девятилитровое ведро, набрать в это ведро из реки ровно три литра воды?|Заполняем водой 9л ведро и заливаем из него 5л в банку. В ведре осталось 4 литра. Выливаем воду из банки и наливаем туда оставшиеся 4 литра из ведра. В банке теперь 4 литра воды. Заполняем ведро очередными 9л и доливаем оттуда 1 литр в банку. Теперь в ведре осталось 8л. Выливаем воду из банки, и заполняем её 5ю литрами из ведра. Теперь в ведре осталось 3л, что и требовалось! Лишние 5л в банке можно вылить.|true
Искусство| Замените буквы цифрами, чтобы получилось верное равенство: ДРАМА+ДРАМА=ТЕАТР|18969 + 18969 = 37938|true
Многодетный отец| У одного человека было 9 детей, причем все они родились через одинаковые промежутки времени, а сумма квадратов их возрастов равнялась квадрату его собственного возраста. Сколько полных лет было каждому из детей?|Детям соответственно 2,5,8,11,14,17,20,23,26 лет. Отцу 48 лет.|true
Женщины и сережки| В одной африканской деревне проживают 750 женщин. 4% из них носят по одной сережке. Из оставшихся 96% половина носит по две серьги, другая половина не носит укращения совсем. Сколько всего сережек у всех женщин племени?|Если из 96% женщин половина носит по две серьги, а половина - по одной, то это все равно, что все носят по одной. Таким образом, показав, что все 750 женщин в среднем носят по одной серьге, получим всего 750 сережек.|true
Как поделить?| Как разделить 5 яблок между пятью лицами так, чтобы каждый получил по яблоку и одно яблоко осталось в корзине. |Один человек берет яблоко вместе с корзиной.|true
Как удалось?| Говорят, что два отца и два сына нашли на дороге, ведущей в Бомбей, три рупии (серебряные монеты) и быстро поделили их между собой, причем каждому досталось по монете. Как им удалось справиться с задачей?|Путники смогли разделить находку поровну, потому что их было трое: дед, отец и сын (или по-другому - два отца и два сына).|true
Боадицея и Клеопатра| Боадицея умерла через 129 лет после рождения Клеопатры. Их суммарный возраст равнялся ста годам. Клеопатра умерла в 30г. до н.э. Когда родилась Боадицея?|Между рождением Клеопатры и смертью Боадицеи прошло 129 лет, но, поскольку их суммарный возраст равнялся всего лишь 100 годам, был период времени в 29 лет, когда ни одной из них не было на свете (период между смертью Клеопатры и рождением Боадицеи). Следовательно, Боадицея родилась через 29 лет после смерти Клеопатры, последовшей в 30 г. до н.э., а именно в 1 г. до н.э.|true
Сотрудники| На одном заводе работают 3 товарища: токарь, сварщик и слесарь. Их фамилии Иванов, Петров и Сидоров. У слесаря нет ни братьев ни сестёр. Он - самый младший из друзей. Сидоров, женатый на сестре Петрова, старше токаря.Назовите профессии каждого из друзей.|Сварщик - Сидоров, Токарь - Петров, Слесарь - Иванов.|true
За круглым столом| Однажды на отдыхе за круглым столом оказались пятеро ребят родом из Москвы, Санкт-Петербурга, Новгорода, Перми и Томска: Юра, Толя, Алеша, Коля и Витя. Москвич сидел между томичом и Витей, санкт-петербуржец - между Юрой и Толей, а напротив него сидели пермяк и Алеша. Коля никогда не был в Санкт-Петербурге, а Юра не бывал в Москве и Томске, а томич с Толей регулярно переписываются. Определите, в каком городе живет каждый из ребят.|Толя живет в Москве, Витя - в Санкт-Петербурге, Юра - в Новгороде, Коля - в Перми, а Алеша - в Томске.|true
В одной комнате| В одной комнате — три лампочки. В другой — три выключателя. Нужно определить, какой выключатель от какой лампочки. Заходить в комнату с лампочками можно только один раз.|надо включить 1 выключатель.Подождать и выключить.сразу включить 2 и зайти в комнату. В комнате будет гореть 1 лампочка-2 выключатель.1 не будет гореть,но будет горячая на ощупь-1 выключатель,ну а не горящая-3 выключатель.|true
Просто математика| Если поделить 50 на половину и добавить 50, то сколько получится?|150. Ведь если 50 разделить на 0.5 , то получим 100, а не 25. Далее прибавляем 50 и получаем 150. |true
Кто разбил окно?| Пять мальчиков играли во дворе в футбол и разбили мячом окно.Ваня сказал: "Это или Паша, или Денис".Паша сказал: "Это сделал не я и не Вова".Митя сказал: "По-моему, один из них говорит правду, а другой - нет".А Вова сказал: "Митя, ты ошибаешься".А бабушка сидела на лавочке и всё видела. Она сказала, что только один мальчик сказал неправду, но не выдала того, кто разбил окно. Но ведь вы и сами догадаетесь.|Окно разбил Денис. Неправду сказал только Митя.|true
Кто машинист?| В поезде Москва - Петербург едут пассажиры Иванов, Петров, Сидоров. Такие же фамилии имеют машинист, электрик и кондуктор бригады поезда. Известно, что:1) Пассажир Иванов живет в Москве.2) Кондуктор живет на полпути от Москвы до Петербурга.3) Пассажир, однофамилец кондуктора, живет в Петербурге.4) Пассажир, живущий ближе к месту жительства кондуктора, чем другие пассажиры, точно втрое старше кондуктора.5) Пассажиру Петрову в тот день исполнилось 20 лет.6) Сидоров (из бригады) недавно выиграл у электрика партию в биллиард.Какая фамилия у машиниста?|Сидоров.|true
Неприятности| К молодой девушке, обедавшей в ресторане, обратилась с просьбой пожилая женщина:- Вы очень похожи на мою младшую дочь, которая умерла несколько месяцев назад. Не могли бы вы сделать мне приятное и сказать "До свидания, мама", когда я буду уходить?Не желая отказывать в просьбе, девушка в точности сделала то, о чем ее попросили.Однако вскоре девушке пришлось пережить несколько неприятных минут. Что же произошло?|Пожилая женщина уверила официанта, что по ее счету расплатится присутствующая здесь дочь. Поэтому девушка была вынуждена оплатить счет мошенницы, т.к. официант слышал, как она назвала ее мамой.|true
Гольф|Во время соревнований по гольфу мяч Пола угодил в бумажный пакетик, который ветром вынесло на поле. Ему сказали, что он либо должен играть мячиком в этом пакетике, либо вынуть мячик из пакетика и в качестве штрафа — пропустить один ход. Что он сделал?|Пол закурил и "случайно" уронил спичку (или сигарету) на пакетик|true
Полёт в прошлое| Профессор Фринк залез в свою машину времени в 2010 году вечером. Он нажал пару кнопок, после чего на дисплее зажглось число 1958, потом 1959, а спустя ещё немного - сразу 2000. Можете ли вы сказать, какое число появится следующим?|Следующим должно зажечься 2001. Речь идёт о часах, которые показывают время 20:01.|true
Весёлый огородник| Восемь луковиц и две морковки весят столько же, сколько и тыква. Десять морковок весят столько же, сколько весят вместе полторы тыквы и две луковицы. Сколько надо набрать морковки, чтобы весила как десять луковиц?|5 морковок.Приравнивая морковки к луку, получим, что 12 луковиц и 3 морковки весят как 10 морковок без 2 луковиц. Откуда находим, что одна морковка весит так же, как две луковицы. Значит, 10 луковиц равняется пяти морковкам!|true
Множество зверей| По пустыне идет стадо слонов. Два слона находятся напротив одного слона, два слона находятся позади слона, да один слон в центре. Сколько же слонов в стаде?|Три, они идут гуськом друг за другом|true
Взлом дома| Банда взломщиков собирается ограбить дом. Сообщники сообщили им, что заходить в помещение можно только при выключенном свете, если свет горит, то заходить в дом нельзя. Весь вечер свет в квартире то потухнет, то погаснет. Когда же взломщикам можно ограбить дом?|То потухнет, то погаснет - то есть свет постоянно выключен. Забираться в дом можно в любое время.|true
Странное ДТП| На дороге произошло довольно странное ДТП. Оба водителя доставлены в больницу в тяжелом состоянии. Однако их машины не получили при этом никаких повреждений. Как это могло случиться?|Во время сильного тумана на узкой дороге водители высунулись из окон, чтоб видеть осевую разметку, и столкнулись головами.|true
Кот Леопольд|Перед котом Леопольдом пять мышиных норок, расположенных в ряд. В одной из этих норок спряталась мышка. Леопольд может засунуть лапу в любую из норок и попробовать поймать мышку. Мышка боится кота, поэтому после каждой его попытки обязательно перебегает в соседнюю норку справа или слева. Может ли кот гарантированно поймать мышку? Если да, то как он должен действовать?|1. Предположим, что мышь в одной из четных норок. Проверяем норку 2. Если не угадали, значит мышь была в норке 4, и перебежала в норку с номером 3 или 5. Суем лапу в норку 3. Если не угадали, значит мышь перебежала в норку с номером 4. Суем лапу в норку 4 и ловим мышь.2. Если мышки там не оказалось, значит, наше исходное предположение было неверно, а мышь была в одной из нечетных норок. Но так как мы сделали три попытки, в данный момент мышка находится в четной норке. Поэтому просто повторяем пункт 1.Итоговая последовательность проверок: 2 3 4 2 3 4|true
Обналичивание| На петином счету в банке лежит 500 долларов. Банк разрешает совершать операции только двух видов: снимать 300 долларов или добавлять 198 долларов.Какую максимальную сумму Петя может снять со счета, если других денег у него нет?|Ответ: Поскольку 300 и 198 делятся на 6, Петя сможет снять лишь сумму, кратную 6 долларам. Максимальное число, кратное 6 и не превосходящее 500, - это 498.Докажем, что снять 498 долларов возможно. Произведем следующие операции: 500-300=200, 200+198=398, 398-300=98, 98+198=296, 296+198=494. Сумма, лежащая в банке, уменьшилась на 6 долларов.Проделав аналогичную процедуру 16 раз, Петя снимет 96 долларов. Затем он может снять 300, положить 198 и снова снять 300. В результате у него будет 498 долларов.|true
Находчивый торговец| Одному торговцу редкими экзотическими фруктами необходимо посетить 30 рынков. У него имеется 3 мешка, в каждый из которых помещается не более 30 плодов. При посещении рынка в качестве торговой пошлины необходимо заплатить по одному плоду из каждого непустого мешка.Если изначально у торговца было 90 плодов, то сколько их останется после посещения всех 30 рынков?P.S. Можно перекладывать плоды из одного мешка в другой.|Очевидно, что в интересах торговца опустошать мешки как можно скорее, чтобы не платить лишнюю пошлину. Посчитаем, через сколько рынков торговец сможет освободить первый мешок: нужно отдать 30 плодов, за каждое посещение он отдает по 3, т.е. через 10 рынков один из мешков останется пустым. Второй мешок опустеет через 30/2 = 15 посещений рынка. Посетив оставшиеся 5 рынков с одним мешком, наш торговец отдаст еще 5 плодов, а в мешке у него останется 90-30-30-5 = 25 плодов|true
Песочные часы| Натали надо испечь яблочный пирог. Обычных часов у нее нет, но есть двое песочных часов. Одни рассчитаны на 7 минут , другие - на 11 минут.Как ей точно отмерить 15 минут, необходимых для приготовления пирога?|Она должна их перевернуть одновременно; когда в часах №1 песок пересыпется, она должна поставить пирог в печь; в часах №2 песок продолжает пересыпаться на протяжении еще 4-х минут; спустя 4 минуты Натали снова переворачивает часы №2 и ждет, пока весь песок не пересыпется. Итого получаем 4+11 = 15 минут|true
Расстояние| У вас есть автомобиль с пустым баком вместительностью 20л и есть три бочки с топливом, каждая по 100л. В автомобиле можно увезти не больше одной бочки. Как при таких условиях проехать максимальное расстояние, если на 1км расходуется 1л топлива?| Сначала перевозим все 3 бочки на 12км вперед (3 раза туда и 2 обратно), тратим 60л, остается 240л в 3-х бочках. Далее перевозим 2 бочки на 20км (2 раза туда и 1 обратно), тратим еще 60л, остается 180л в 2-х бочках. Далее перевозим 2 бочки еще на 20км (2 раза туда и 1 обратно), тратим еще 60л, остается 120л в 2-х бочках. Переливаем 20л в бак, берем бочку Едем еще 120км. Приехали итого за 172км от начала.|true
Верблюд и бананы| Верблюд выращивает бананы. В этом году он собрал богатый урожай - 3000 бананов. Но вот незадача - ближайшее место, где их можно продать, находится за 1000 км. За один раз верблюд может унести не более 1000 бананов, при этом за каждый километр пути он съедает 1 банан.Какое максимальное количество бананов может продать верблюд?|1. Сначала верблюд переносит бананы на 200 км. Берёт 1000 бананов, 200 съедает в пути, 600 оставляет, идёт назад, и так, пока не перенесёт всё. Это занимает 3 ходки и даёт 2000 бананов на точке "200 км".2. Теперь верблюд переносит бананы ещё на 333 км. Берёт 1000 бананов, 333 съедает в пути, 334 оставляет, идёт назад, берёт оставшуюся 1000 бананов, 333 съедает в пути, 667 приносит, что даёт в общей сложности 1001 банан на точке "533 км".3. Осталось пройти 467 км с 1001 бананом. Верблюд вхолостую съедает один банан (чтоб не пропадал) и пускается в путь. На рынок он приносит 533 банана.|true
В лодке с недругом| Три миссионера и три каннибала должны пересечь реку в лодке, в которой могут поместиться только двое. Миссионеры должны соблюдать осторожность, чтобы каннибалы не получили на каком-либо берегу численное преимущество. Как переплыть реку?| Первыми пересекают реку миссионер и каннибал. После этого миссионер возвращается. Затем пересекают реку два каннибала. Один из них возвращается. Потом два миссионера пересекают реку. Миссионер и каннибал возвращаются. Два миссионера пересекают реку. Один каннибал возвращается. Два каннибала пересекают реку. Один каннибал возвращается. Два оставшихся каннибала пересекают реку.|true
Простая игра| На столе лежат 37 спичек. Каждому из двух игроков разрешается по очереди брать не более 5 спичек. Выигрывает тот, кто возьмет последнюю. Кто выигрывает при правильной стратегии - начинающий игру или второй игрок? Какова выигрышная стратегия?| Начинающий первым ходом берет одну спичку, а затем каждый раз дополняет число спичек, взятых соперником, до шести.|true
Голодный студент| На сковороде могут одновременно жариться две котлеты. Каждую котлету нужно обжаривать с двух сторон, при этом на обжаривание ее с одной стороны требуется 2 мин. Голодный студент мечтает побыстрее поджарить три котлеты. Какое наименьшее время ему потребуется?|Поджарив одну сторону пары котлет, студент переворачивает одну котлету, другую снимает и заменяет ее на третью. Через 2 мин на сковороде будет одна готовая котлета, которую можно уже есть и заменить на снятую ранее со сковороды. Всего на поджаривание уйдет 6 мин.|true
Кувшинки на пруду| На поверхности пруда плавает одна кувшинка, которая постоянно делится и разрастается. Таким образом, каждый день площадь, которую занимают кувшинки, увеличивается в два раза. Через месяц покрытой оказывается вся поверхность пруда. За сколько времени покроется кувшинками вся поверхность пруда, если изначально на поверхности будут плавать две кувшинки?|Две кувшинки покроют озеро за месяц минус один день.|true
